trigger_number,Ep,E_Ep,e_Ep,z,E_z,e_z,Lum,E_Lum,e_Lum
7573,52.2,23.8,16.2,0.96,0.51,0.46,2.45E+51,2.05E+51,3.96E+51
7575,467.9,6.1,6.2,2.82,0.08,0.08,7.51E+53,5.00E+52,5.40E+52
7579,31.3,25.3,32.8,0.74,0.62,1.4,6.94E+50,6.83E+50,8.79E+51
7588,74.7,11.5,2.6,1.44,0.32,0.08,7.79E+51,3.57E+51,1.12E+51
7598,109.3,15,15.6,2.34,0.55,0.75,3.12E+52,1.50E+52,2.99E+52
7603,93.6,39.2,20.2,2.31,1.33,1.21,2.24E+52,1.97E+52,3.94E+52
7605,136.2,17.3,27.1,4.06,1.13,3.02,1.12E+53,6.00E+52,2.97E+53
7607,60.9,5,4,0.95,0.1,0.09,3.29E+51,8.00E+50,7.90E+50
7608,92.4,20.1,23.9,7.33,3.79,16.46,1.39E+53,1.14E+53,1.81E+54
7630,127.2,31.1,24.2,4.09,1.89,2.88,9.85E+52,7.63E+52,2.44E+53
7638,66.8,3.3,3.3,1.74,0.14,0.15,7.83E+51,1.45E+51,1.79E+51
7645,70.7,25.8,15.9,2.54,1.36,1.51,1.47E+52,1.24E+52,3.01E+52
7657,74.7,2.9,2.7,1.03,0.05,0.05,5.41E+51,6.70E+50,7.00E+50
7677,73.4,17.7,7.3,2.07,0.76,0.41,1.19E+52,8.00E+51,6.60E+51
7678,323.5,7.2,7.4,2.96,0.14,0.15,3.86E+53,4.30E+52,5.00E+52
7688,258,27.6,30.9,5.73,1.6,2.87,7.07E+53,3.80E+53,1.10E+54
7695,871.4,39.8,42.4,6.32,0.89,1.17,9.56E+54,2.84E+54,4.57E+54
7701,185.3,29.8,33.6,9.09,4.16,13.18,8.20E+53,6.20E+53,5.26E+54
7703,174.6,54.4,81.4,3.82,2.04,12.03,1.66E+53,1.40E+53,4.20E+54
7705,44.3,31.1,59,0.98,0.74,3.72,1.80E+51,1.74E+51,7.96E+52
7707,62.8,34.2,37.2,2.87,2.06,9.96,1.39E+52,1.33E+52,4.35E+53
7711,206.6,10.9,11.4,5.15,0.74,0.96,3.79E+53,1.16E+53,1.85E+53
7727,126.6,14.4,12.3,4,1,1.18,9.40E+52,4.69E+52,7.91E+52
7744,79.5,2.7,2.4,1.85,0.11,0.1,1.20E+52,1.60E+51,1.60E+51
7750,90.9,37.4,74,2.08,1.16,8.9,1.84E+52,1.59E+52,8.97E+53
7762,103.9,30.3,16.3,2.83,1.33,1.17,3.72E+52,2.93E+52,4.76E+52
7769,120.1,31.4,43.8,3.33,1.51,5.23,6.34E+52,4.87E+52,5.12E+53
7770,121.9,37.6,51.1,2.48,1.16,3.53,4.21E+52,3.32E+52,3.02E+53
7781,121.2,11.3,12.4,1.76,0.26,0.33,2.61E+52,8.50E+51,1.36E+52
7785,148.3,4.3,8.8,4.24,0.31,0.75,1.41E+53,2.40E+52,6.60E+52
7786,101.9,49.8,31.4,1.19,0.69,0.63,1.17E+52,1.02E+52,2.14E+52
7788,244.4,31.8,28.4,10.08,4.15,7.86,1.72E+54,1.21E+54,4.54E+54
7803,97.5,6.7,7,2.98,0.42,0.52,3.54E+52,1.08E+52,1.64E+52
7818,178.8,52,38.9,8.79,5.66,17.56,7.19E+53,6.55E+53,7.60E+54
7822,96.7,10.4,10.8,1.57,0.26,0.31,1.44E+52,5.10E+51,7.90E+51
7831,92.3,44.1,43.7,3.03,2.03,6.94,3.26E+52,3.04E+52,4.91E+53
7840,172.1,8.1,8.5,6.56,0.97,1.26,3.97E+53,1.23E+53,1.98E+53
7841,109.2,49.1,56.8,2.38,1.46,4.74,3.20E+52,2.89E+52,3.95E+53
7845,448.6,92.8,103.4,10.9,6.18,34.18,6.68E+54,5.71E+54,1.45E+56
7858,96.4,2.6,2.5,1.67,0.07,0.07,1.55E+52,1.60E+51,1.70E+51
7868,214.8,32.1,56.9,8.98,3.89,29.2,1.08E+54,7.90E+53,2.55E+55
7886,126.8,62.1,7.1,4.45,3.24,0.75,1.12E+53,1.07E+53,5.00E+52
7929,684.4,70.9,83.7,9.94,3.45,8.28,1.32E+55,8.20E+54,3.80E+55
7932,140.8,16.2,20.4,3.51,0.84,1.53,9.47E+52,4.56E+52,1.28E+53
7934,45.4,39.5,40.8,1.42,1.29,4.1,2.82E+51,2.81E+51,7.12E+52
7938,149.1,30.3,38.8,8.51,4.43,24.17,4.72E+53,3.86E+53,8.93E+54
7954,244.2,5.3,5.4,0.97,0.03,0.03,5.41E+52,3.80E+51,4.10E+51
7969,83.2,6.1,11.5,1.36,0.15,0.31,9.00E+51,2.19E+51,5.92E+51
7976,171.6,2,2.4,2.35,0.05,0.07,7.75E+52,4.10E+51,5.40E+51
7987,292,17.8,20,2.8,0.34,0.44,2.88E+53,7.80E+52,1.23E+53
7992,23,3.3,33.4,0.6,0.1,1.57,3.18E+50,1.12E+50,7.19E+51
7994,274,5.5,5.6,7.38,0.52,0.59,1.24E+54,1.90E+53,2.40E+53
7998,90.6,3.1,2.3,1.42,0.07,0.06,1.13E+52,1.40E+51,1.10E+51
8001,136.1,6.4,6.6,8.21,1.36,1.81,3.69E+53,1.26E+53,2.11E+53
8004,74.9,13.3,24,0.99,0.22,0.5,5.22E+51,2.44E+51,9.02E+51
8008,529.5,9.1,9.3,5.86,0.32,0.35,3.09E+54,3.70E+53,4.40E+53
8012,93.9,48.3,46.2,3.84,2.8,14.01,4.85E+52,4.65E+52,1.59E+54
8019,95.9,3.5,3.6,1.62,0.1,0.1,1.48E+52,2.10E+51,2.40E+51
8022,136,23.8,25.3,1.7,0.44,0.61,3.15E+52,1.65E+52,3.51E+52
8026,70,41.3,34.1,3.03,2.3,7.38,1.87E+52,1.81E+52,3.12E+53
8030,166.7,13.1,13.7,3.14,0.51,0.65,1.12E+53,3.90E+52,6.40E+52
8036,106.7,4.8,4.9,3.65,0.38,0.44,5.79E+52,1.35E+52,1.80E+52
8049,23.3,15.4,45.6,0.46,0.31,1.55,2.70E+50,2.51E+50,9.78E+51
8050,81.7,3.2,3.2,1.49,0.09,0.1,9.74E+51,1.38E+51,1.61E+51
8059,62.7,28.8,39.2,1.25,0.69,1.72,4.68E+51,4.02E+51,3.37E+52
8063,260.7,43.4,47.3,7.41,3.22,8.59,1.13E+54,8.30E+53,5.30E+54
8064,61.9,19.6,5,2.36,1.11,0.41,1.01E+52,8.00E+51,4.80E+51
8066,83.5,63.4,19.1,2.41,2.06,1.4,1.90E+52,1.88E+52,3.82E+52
8073,127.5,50.9,80.3,2.14,1.18,5.37,3.76E+52,3.23E+52,6.95E+53
8075,138.8,10.8,11.7,2.72,0.41,0.54,6.26E+52,2.04E+52,3.38E+52
8084,126,4.9,4.9,6.15,0.74,0.88,1.91E+53,4.90E+52,6.90E+52
8087,341.3,38.5,43.5,6.96,2.21,4.46,1.73E+54,1.02E+54,3.63E+54
8098,148.6,16.3,19.3,2.06,0.38,0.55,4.85E+52,1.90E+52,3.78E+52
8099,79.5,11.3,12.1,0.74,0.13,0.15,4.49E+51,1.66E+51,2.54E+51
8105,17.1,5.4,5.5,0.41,0.14,0.15,1.36E+50,8.40E+49,1.55E+50
8111,354.5,88.3,46.6,7.98,4.6,6.05,2.38E+54,2.06E+54,6.15E+54
8116,241.2,18.2,30.7,11.78,3.44,12.32,2.23E+54,1.21E+54,8.69E+54
8121,103.8,20.9,24.7,8.43,4.34,19.23,2.25E+53,1.83E+53,2.96E+54
