,id,GRB_name,GRB_name_Fermi,T0,T0_source,ra,ra_source,decl,decl_source,pos_error,pos_error_source,T90,T90_source,T90_error,T90_error_source,T90_start,T90_start_source,fluence,fluence_source,fluence_error,fluence_error_source,redshift,redshift_source,T100,GBM_located,mjd,mjd_source
7016,7017,GRB940727A*,,39977.6,BATSE,154.55,BATSE,0.2833333333333333,BATSE,8.56,BATSE,,,,,,,,,,,,,,0,49560.462703703706,BATSE
7017,7018,GRB990404A*,,40039.536,BATSE,301.27500000000003,BATSE,-47.166666666666664,BATSE,6.91,BATSE,0.384,BATSE,0.143,BATSE,40039.536,BATSE,1.4586899999999998e-08,BATSE,4.952799284243205e-09,BATSE,,,0.384,0,51272.463420555556,BATSE
7018,7019,GRB971230B*,,40083.304,BATSE,147.6,BATSE,-19.15,BATSE,2.42,BATSE,22.592,BATSE,7.617,BATSE,40083.304,BATSE,9.5577e-07,BATSE,3.546374028497276e-08,BATSE,,,22.592,0,50812.46392712963,BATSE
7019,7020,GRB941005B*,,40132.228,BATSE,329.90000000000003,BATSE,44.95,BATSE,13.53,BATSE,0.096,BATSE,0.011,BATSE,40132.228,BATSE,6.2928e-09,BATSE,2.6219785124977664e-09,BATSE,,,0.096,0,49630.46449337963,BATSE
7020,7021,GRB931008C*,,40150.7,BATSE,165.4,BATSE,33.93333333333333,BATSE,0.86,BATSE,,,,,,,6.721200000000001e-06,BATSE,5.806873537455418e-08,BATSE,,,,0,49268.464707175925,BATSE
7021,7022,GRB910718C*,,40157.8,BATSE,307.97499999999997,BATSE,-46.03333333333333,BATSE,10.48,BATSE,,,,,,,1.53696e-07,BATSE,1.7737932320312872e-08,BATSE,,,,0,48455.46478935185,BATSE
7022,7023,GRB910814A*,,40175.692,BATSE,58.00000000000001,BATSE,45.21666666666667,BATSE,0.97,BATSE,77.824,BATSE,1.175,BATSE,40175.692,BATSE,5.1225e-06,BATSE,4.8663699489455174e-08,BATSE,,,77.824,0,48482.464996435185,BATSE
7023,7024,GRB960523A*,,40212.130999999994,BATSE,203.725,BATSE,42.15,BATSE,3.73,BATSE,1.504,BATSE,0.051,BATSE,40212.130999999994,BATSE,4.5249e-08,BATSE,7.320859148351374e-09,BATSE,,,1.504,0,50226.465418182874,BATSE
7024,7025,GRB950311A*,,40328.068,BATSE,349.3,BATSE,22.683333333333334,BATSE,10.54,BATSE,17.056,BATSE,3.278,BATSE,40328.068,BATSE,1.62261e-07,BATSE,3.282409485423779e-08,BATSE,,,17.056,0,49787.4667600463,BATSE
7025,7026,GRB950901B*,,40262.276,BATSE,316.40000000000003,BATSE,13.383333333333333,BATSE,6.11,BATSE,107.424,BATSE,3.962,BATSE,40262.276,BATSE,6.393299999999999e-06,BATSE,2.363729737089247e-07,BATSE,,,107.424,0,49961.46599856482,BATSE
7026,7027,GRB980928A*,,40352.432,BATSE,255.775,BATSE,49.516666666666666,BATSE,5.97,BATSE,52.672,BATSE,3.238,BATSE,40352.432,BATSE,1.3256100000000001e-06,BATSE,7.10625805329359e-08,BATSE,,,52.672,0,51084.46704203704,BATSE
7027,7028,GRB920805A*,,40434.0,BATSE,105.575,BATSE,22.933333333333334,BATSE,4.74,BATSE,,,,,,,,,,,,,,0,48839.467986111114,BATSE
7028,7029,GRB000520A*,,40526.584,BATSE,234.75,BATSE,-0.31666666666666665,BATSE,3.09,BATSE,14.976,BATSE,3.586,BATSE,40526.584,BATSE,3.8847e-07,BATSE,3.00580097145503e-08,BATSE,,,14.976,0,51684.469057685186,BATSE
7029,7030,GRB930102A*,,40558.752,BATSE,220.54999999999998,BATSE,10.466666666666667,BATSE,4.04,BATSE,7.168,BATSE,0.779,BATSE,40558.752,BATSE,8.2809e-08,BATSE,3.116825428220195e-08,BATSE,,,7.168,0,48989.46943,BATSE
7030,7031,GRB961017B*,,40603.536,BATSE,37.15,BATSE,-10.683333333333334,BATSE,2.89,BATSE,1.152,BATSE,0.091,BATSE,40603.536,BATSE,5.904e-07,BATSE,1.0581098383438273e-08,BATSE,,,1.152,0,50373.46994833333,BATSE
7031,7032,GRB930719B*,,40667.037,BATSE,212.17499999999998,BATSE,1.3666666666666667,BATSE,7.32,BATSE,0.208,BATSE,0.058,BATSE,40667.037,BATSE,1.2766499999999999e-08,BATSE,2.8161414080262375e-09,BATSE,,,0.208,0,49187.47068329861,BATSE
